poll_time,event_slug,event_name,matchup_id,side,selection,row_kind,book_id,book,american,move_arrow,event_date
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,2,Edmen Shahbazyan,moneyline,21,FanDuel,-164,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,2,Edmen Shahbazyan,moneyline,24,Caesars,-160,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,2,Edmen Shahbazyan,moneyline,25,BetRivers,-155,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,2,Edmen Shahbazyan,moneyline,20,BetWay,-163,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44758,2,Edmen Shahbazyan,moneyline,26,Unibet,-155,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,1,Casey O'Neill,moneyline,29,Kalshi,-183,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,1,Casey O'Neill,moneyline,21,FanDuel,-170,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,1,Casey O'Neill,moneyline,24,Caesars,-180,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,1,Casey O'Neill,moneyline,25,BetRivers,-182,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,1,Casey O'Neill,moneyline,20,BetWay,-175,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,1,Casey O'Neill,moneyline,26,Unibet,-182,▲,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,2,Eduarda Moura,moneyline,29,Kalshi,145,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,2,Eduarda Moura,moneyline,21,FanDuel,138,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,2,Eduarda Moura,moneyline,24,Caesars,150,,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,2,Eduarda Moura,moneyline,25,BetRivers,145,▼,2026-09-10
2026-09-10T08:32:34.827807+00:00,ufc-331-4303,UFC 331 Odds,44757,2,Eduarda Moura,moneyline,20,BetWay,140,,2026-09-10
