poll_time,event_slug,event_name,matchup_id,side,selection,row_kind,book_id,book,american,move_arrow
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,1,Aleksandar Rakic,moneyline,21,FanDuel,-390,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,1,Aleksandar Rakic,moneyline,24,Caesars,-370,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,1,Aleksandar Rakic,moneyline,25,BetRivers,-360,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,1,Aleksandar Rakic,moneyline,20,BetWay,-350,
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,1,Aleksandar Rakic,moneyline,26,Unibet,-360,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,2,Marcin Tybura,moneyline,28,Polymarket,335,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,2,Marcin Tybura,moneyline,29,Kalshi,312,
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,2,Marcin Tybura,moneyline,21,FanDuel,310,
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,2,Marcin Tybura,moneyline,24,Caesars,290,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,2,Marcin Tybura,moneyline,25,BetRivers,270,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,2,Marcin Tybura,moneyline,20,BetWay,260,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44219,2,Marcin Tybura,moneyline,26,Unibet,270,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,1,Dusko Todorovic,moneyline,28,Polymarket,144,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,1,Dusko Todorovic,moneyline,29,Kalshi,134,
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,1,Dusko Todorovic,moneyline,21,FanDuel,134,
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,1,Dusko Todorovic,moneyline,24,Caesars,143,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,1,Dusko Todorovic,moneyline,25,BetRivers,123,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,1,Dusko Todorovic,moneyline,20,BetWay,140,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,1,Dusko Todorovic,moneyline,26,Unibet,123,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,2,Robert Valentin,moneyline,28,Polymarket,-150,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,2,Robert Valentin,moneyline,29,Kalshi,-161,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,2,Robert Valentin,moneyline,21,FanDuel,-158,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,2,Robert Valentin,moneyline,24,Caesars,-170,▼
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,2,Robert Valentin,moneyline,25,BetRivers,-152,▲
2026-08-01T01:11:34.022763+00:00,ufc-belgrade-4285,UFC Belgrade Odds,44220,2,Robert Valentin,moneyline,20,BetWay,-175,▼
